cod_ine,departamento,municipio
40505,Oruro,Esmeralda
50203,Potosí,Llallagua
50702,Potosí,Caripuyo
30201,Cochabamba,Aiquile
50701,Potosí,Sacaca
51302,Potosí,Acasio
40701,Oruro,Huanuni
40501,Oruro,Huachacalla
31402,Cochabamba,Villa Rivero
21803,La Paz,Chacarilla
30403,Cochabamba,Arbieto
21802,La Paz,Papel Pampa
21302,La Paz,Umala
40101,Oruro,Oruro
41601,Oruro,Huayllamarca
21801,La Paz,San Pedro de Curahuara
30703,Cochabamba,Sicaya
71402,Santa Cruz,Puerto Quijarro
30701,Cochabamba,Capinota
30601,Cochabamba,Arque
20301,La Paz,Corocoro
31403,Cochabamba,San Benito
20902,La Paz,Sapahaqui
20905,La Paz,Cairoma
21004,La Paz,Colquiri
21005,La Paz,Ichoca
70104,Santa Cruz,La Guardia
70803,Santa Cruz,Moromoro
70105,Santa Cruz,El Torno
70901,Santa Cruz,Samaipata
10702,Chuquisaca,San Lucas
10902,Chuquisaca,Culpina
10703,Chuquisaca,Incahuasi
70404,Santa Cruz,San Juan
50102,Potosí,Tinguipaya
50501,Potosí,San Pedro
20202,La Paz,Villa Ancoraimes
20403,La Paz,Puerto Mayor de Carabuco
40901,Oruro,Sabaya
80601,Beni,Loreto
51202,Potosí,Tomave
51203,Potosí,Porco
60303,Tarija,Villa Montes
50103,Potosí,Yocalla
50104,Potosí,Urmiri
20402,La Paz,Mocomoco
71302,Santa Cruz,Saipina
30203,Cochabamba,Omereque
70103,Santa Cruz,Porongo
70101,Santa Cruz,Santa Cruz de la Sierra
80501,Beni,San Ignacio
80102,Beni,San Javier
71005,Santa Cruz,San Pedro
21003,La Paz,Cajuata
21001,La Paz,Inquisivi
21102,La Paz,Irupana
21101,La Paz,Chulumani
40601,Oruro,Poopó
41301,Oruro,Totora
50301,Potosí,Betanzos
40402,Oruro,Turco
41502,Oruro,Todos Santos
71101,Santa Cruz,Concepción
70602,Santa Cruz,Santa Rosa
80803,Beni,Huacaraje
41501,Oruro,La Rivera
60601,Tarija,Entre Ríos
80701,Beni,San Joaquín
80702,Beni,San Ramón
20803,La Paz,Tiahuanacu
50401,Potosí,Colquechaca
50403,Potosí,Pocoata
30901,Cochabamba,Quillacollo
31001,Cochabamba,Sacaba
30903,Cochabamba,Tiquipaya
30905,Cochabamba,Colcapirhua
30902,Cochabamba,Sipesipe
30904,Cochabamba,Vinto
30401,Cochabamba,Tarata
31201,Cochabamba,Totora
70401,Santa Cruz,Buena Vista
70402,Santa Cruz,San Carlos
80801,Beni,Magdalena
70601,Santa Cruz,Portachuelo
51003,Potosí,San Antonio de Esmoruco
60401,Tarija,Uriondo
51002,Potosí,Mojinete
60301,Tarija,Yacuiba
60402,Tarija,Yunchará
60302,Tarija,Caraparí
60501,Tarija,San Lorenzo
60502,Tarija,El Puente
50502,Potosí,Toro Toro
51601,Potosí,San Agustín
60101,Tarija,Tarija
51001,Potosí,San Pablo
10903,Chuquisaca,Las Carreras
10901,Chuquisaca,Villa Abecia
30302,Cochabamba,Morochata
41503,Oruro,Carangas
40504,Oruro,Yunguyo del Litoral
40503,Oruro,Cruz de Machacamarca
40603,Oruro,Antequera
20307,La Paz,Nazacara de Pacajes
20302,La Paz,Caquiaviri
41202,Oruro,Belén de Andamarca
40301,Oruro,Corque
50602,Potosí,Vitiche
20901,La Paz,Luribay
51301,Potosí,Arampampa
30404,Cochabamba,Sacabamba
30402,Cochabamba,Anzaldo
30802,Cochabamba,Toco
31405,Cochabamba,Villa Gualberto Villarroel
31404,Cochabamba,Tacachi
30801,Cochabamba,Cliza
30602,Cochabamba,Tacopaya
30702,Cochabamba,Santivañez
40104,Oruro,Paria
21307,La Paz,Collana
30803,Cochabamba,Tolata
90101,Pando,Cobija
41101,Oruro,Eucaliptus
20308,La Paz,Santiago de Callapa
30101,Cochabamba,Cochabamba
40102,Oruro,Caracollo
21902,La Paz,Catacora
20903,La Paz,Yaco
20303,La Paz,Calacoto
30501,Cochabamba,Arani
31401,Cochabamba,Punata
21301,La Paz,Sicasica
21305,La Paz,Patacamaya
21306,La Paz,Colquencha
21901,La Paz,Santiago de Machaca
90303,Pando,Sena
90302,Pando,San Lorenzo
80303,Beni,Santa Rosa
20904,La Paz,Malla
20304,La Paz,Comanche
21304,La Paz,Calamarca
20801,La Paz,Viacha
21006,La Paz,Villa Libertad Licoma
21002,La Paz,Quime
20205,La Paz,Huatajata
21202,La Paz,Laja
20103,La Paz,Mecapaca
20102,La Paz,Palca
20104,La Paz,Achocalla
20105,La Paz,El Alto
21103,La Paz,Yanacachi
31101,Cochabamba,Tapacarí
20804,La Paz,Desaguadero
20806,La Paz,Jesús de Machaka
20802,La Paz,Puerto Mayor de Guaqui
21703,La Paz,Tito Yupanqui
21201,La Paz,Pucarani
20605,La Paz,Combaya
21401,La Paz,Coroico
21402,La Paz,Coripata
20604,La Paz,Quiabaya
20503,La Paz,Aucapata
21303,La Paz,Ayo Ayo
10201,Chuquisaca,Azurduy
20606,La Paz,Tipuani
20101,La Paz,Nuestra Señora de La Paz
20601,La Paz,Sorata
21105,La Paz,La Asunta
20501,La Paz,Chuma
20602,La Paz,Guanay
20608,La Paz,Teoponte
20607,La Paz,Mapiri
21601,La Paz,Charazani
51102,Potosí,"Caiza ""D"""
21701,La Paz,Copacabana
10202,Chuquisaca,Tarvita
50302,Potosí,Chaquí
51101,Potosí,Puna
51103,Potosí,Ckochas
10405,Chuquisaca,El Villar
11002,Chuquisaca,Huacaya
20603,La Paz,Tacacoma
10502,Chuquisaca,Huacareta
10501,Chuquisaca,Monteagudo
50101,Potosí,Potosí
21702,La Paz,San Pedro de Tiquina
70701,Santa Cruz,Lagunillas
10404,Chuquisaca,Alcalá
10403,Chuquisaca,Sopachui
10304,Chuquisaca,Villa Ricardo Mugia - Icla
10102,Chuquisaca,Yotala
10602,Chuquisaca,Yamparáez
10402,Chuquisaca,Tomina
50404,Potosí,Ocurí
10601,Chuquisaca,Tarabuco
10301,Chuquisaca,Zudañez
21602,La Paz,Curva
20702,La Paz,Pelechuco
21104,La Paz,Palos Blancos
20701,La Paz,Apolo
80304,Beni,Puerto Menor de Rurrenabaque
21502,La Paz,San Buenaventura
80401,Beni,Santa Ana
80302,Beni,San Borja
80301,Beni,Reyes
90301,Pando,Puerto Gonzalo Moreno
80703,Beni,Puerto Siles
80402,Beni,Exaltación
80201,Beni,Riberalta
90102,Pando,Porvenir
90104,Pando,Bella Flor
90202,Pando,San Pedro
90201,Pando,Puerto Rico
90401,Pando,Santa Rosa
90402,Pando,Ingavi
80202,Beni,Guayaramerín
90502,Pando,Villa Nueva
90503,Pando,Santos Mercado
90501,Pando,Nueva Esperanza
20204,La Paz,Santiago de Huata
21204,La Paz,Puerto Pérez
50204,Potosí,Chuquihuta Ayllu Jucumani
90103,Pando,Bolpebra
90203,Pando,Filadelfia
22002,La Paz,Alto Beni
22001,La Paz,Caranavi
20203,La Paz,Huarina
31501,Cochabamba,Bolivar
20206,La Paz,Chua Cocani
20404,La Paz,Humanata
11001,Chuquisaca,Villa Vaca Guzmán
21203,La Paz,Batallas
10401,Chuquisaca,Padilla
10303,Chuquisaca,Mojocoya
70805,Santa Cruz,Pucará
10801,Chuquisaca,Villa Serrano
11003,Chuquisaca,Macharetí
70707,Santa Cruz,Boyuibe
70704,Santa Cruz,Cuevo
70706,Santa Cruz,Camiri
30303,Cochabamba,Cocapata
70801,Santa Cruz,Vallegrande
70705,Santa Cruz,Gutiérrez
10101,Chuquisaca,Sucre
10302,Chuquisaca,Presto
70804,Santa Cruz,Postrervalle
70802,Santa Cruz,Trigal
70904,Santa Cruz,Quirusillas
70703,Santa Cruz,Cabezas
70102,Santa Cruz,Cotoca
70403,Santa Cruz,Yapacaní
71106,Santa Cruz,Cuatro Cañadas
71105,Santa Cruz,San Ramón
71102,Santa Cruz,San Javier
70302,Santa Cruz,San Miguel
31003,Cochabamba,Villa Tunari
31204,Cochabamba,Chimoré
31601,Cochabamba,Tiraque
31602,Cochabamba,Shinahota
71001,Santa Cruz,Montero
71501,Santa Cruz,Ascención de Guarayos
80602,Beni,San Andrés
30502,Cochabamba,Vacas
31203,Cochabamba,Pocona
70202,Santa Cruz,Okinawa Uno
70201,Santa Cruz,Warnes
71002,Santa Cruz,General Saavedra
70502,Santa Cruz,Pailón
71004,Santa Cruz,Fernández Alonso
71003,Santa Cruz,Mineros
70902,Santa Cruz,Pampa Grande
70903,Santa Cruz,Mairana
31205,Cochabamba,Puerto Villarroel
70603,Santa Cruz,Colpa Bélgica
71401,Santa Cruz,Puerto Suarez
71403,Santa Cruz,El Carmen Rivero Tórrez
70503,Santa Cruz,Roboré
71201,Santa Cruz,San Matías
70702,Santa Cruz,Charagua
70501,Santa Cruz,San José
70303,Santa Cruz,San Rafael
30301,Cochabamba,Ayopaya
70301,Santa Cruz,San Ignacio
71502,Santa Cruz,Urubicha
80802,Beni,Baures
80101,Beni,Trinidad
71104,Santa Cruz,San Antonio de Lomerio
31202,Cochabamba,Pojo
31206,Cochabamba,Entre Ríos
10103,Chuquisaca,Poroma
31002,Cochabamba,Colomi
31303,Cochabamba,Alalay
31302,Cochabamba,Vila Vila
21501,La Paz,Ixiamas
20502,La Paz,Ayata
51201,Potosí,Uyuni
20306,La Paz,Waldo Ballivian
40401,Oruro,Curahuara de Carangas
40302,Oruro,Choquecota
40502,Oruro,Escara
50202,Potosí,Chayanta
50801,Potosí,Tupiza
50802,Potosí,Atocha
50902,Potosí,San Pedro de Quemes
71103,Santa Cruz,San Julián
71503,Santa Cruz,El Puente
71301,Santa Cruz,Comarapa
60202,Tarija,Bermejo
10704,Chuquisaca,Villa Charcas
20401,La Paz,Puerto Acosta
20405,La Paz,Escoma
20305,La Paz,Charaña
20201,La Paz,Achacachi
20807,La Paz,Taraco
20805,La Paz,La (Marka) San Andrés de Machaca
50303,Potosí,Tacobamba
50201,Potosí,Uncía
50402,Potosí,Ravelo
31301,Cochabamba,Mizque
30202,Cochabamba,Pasorapa
50601,Potosí,Cotagaita
10701,Chuquisaca,Camargo
51501,Potosí,Villazón
60201,Tarija,Padcaya
50901,Potosí,"Colcha ""K"""
40903,Oruro,Chipaya
40902,Oruro,Coipasa
40202,Oruro,Santuario de Quillacas
41201,Oruro,Andamarca
40702,Oruro,Machacamarca
40103,Oruro,El Choro
40602,Oruro,Pazña
40201,Oruro,Challapata
51401,Potosí,Llica
41001,Oruro,Toledo
40801,Oruro,Salinas de Garcí Mendoza
51402,Potosí,Tahua
41401,Oruro,Santiago de Huari
40802,Oruro,Pampa Aullagas
50405,Potosí,San Pedro de Macha
